,state_code,state_name,Median Age,Male Population,Female Population,Total Population,Number of Veterans,Foreign-born,Average Household Size,Count
0,AL,ALABAMA,36.161764705882355,0.47415357524810653,0.5258464247518935,5163306.0,0.06834690796942888,0.04891071728074997,2.43,34.0
1,AK,ALASKA,32.2,0.5120440583203603,0.4879559416796398,1493475.0,0.09204037563400794,0.11134434791342339,2.77,5.0
2,AZ,ARIZONA,35.0375,0.495040384110205,0.504959615889795,22497710.0,0.05878487188251604,0.15164054474877664,2.774375,80.0
3,AR,ARKANSAS,32.737931034482756,0.4858751065337583,0.5141248934662417,2882889.0,0.05355391761528106,0.10675159536145859,2.526896551724138,29.0
4,CA,CALIFORNIA,36.17396449704142,0.49460076962775285,0.5053992303722472,123444353.0,0.03740164606800604,0.3002135059187357,3.095325443786982,676.0
5,CO,COLORADO,35.81875,0.49549830038740744,0.5045016996125926,14678345.0,0.06400449096952006,0.1150099006393432,2.56,80.0
6,CT,CONNECTICUT,35.0025641025641,0.48757478595190556,0.5124252140480945,4355096.0,0.028138530126546005,0.255849698835571,2.666153846153846,39.0
7,DE,DELAWARE,36.4,0.45416012340703477,0.5458398765929653,359785.0,0.04256708867796045,0.04636102116541824,2.45,5.0
8,DC,DIST. OF COLUMBIA,33.8,0.47559012715923765,0.5244098728407623,3361140.0,0.03862231266772583,0.14149514747972414,2.24,5.0
9,FL,FLORIDA,39.52882882882883,0.478606878718876,0.5146522957313491,32306132.0,0.05763460014340312,0.2428506761502739,2.76027397260274,222.0
10,GA,GEORGIA,33.80909090909091,0.47943054250300404,0.520569457496996,8555160.0,0.061083018903211626,0.08637185043879951,2.5527272727272727,55.0
11,GU,GUAM,,,,,,,,
12,HI,HAWAII,41.4,0.5012019298912027,0.49879807010879734,1763830.0,0.06580282680303658,0.2871932102300108,2.69,5.0
13,ID,IDAHO,34.766666666666666,0.4991513802292903,0.5008486197707097,1994415.0,0.06613468109696327,0.07051190449329753,2.71,15.0
14,IL,ILLINOIS,35.70879120879121,0.48608307842228904,0.513916921577711,22514390.0,0.032114971802478326,0.2057617372711408,2.731868131868132,91.0
15,IN,INDIANA,33.82745098039216,0.4836207546576676,0.5163792453423325,9097794.0,0.04920093816149278,0.07843912491313829,2.4784313725490197,51.0
16,IA,IOWA,32.544117647058826,0.49169381934476747,0.5083061806552325,3604003.0,0.05472387231642149,0.08596801944948436,2.3820588235294116,34.0
17,KS,KANSAS,34.82857142857143,0.49129824414730283,0.5087017558526972,5741370.0,0.05642294434951937,0.10332464202794803,2.5914285714285716,35.0
18,KY,KENTUCKY,35.95,0.48660521767932746,0.5133947823206725,4649385.0,0.06024990401956388,0.0715019298251274,2.395,10.0
19,LA,LOUISIANA,34.625,0.4820855070179418,0.5179144929820582,6502975.0,0.05364544689161499,0.06413910556322298,2.465,40.0
20,ME,MAINE,40.3,0.4707500897236512,0.5292499102763488,334360.0,0.05482115085536547,0.13800992941739443,2.13,5.0
21,MD,MARYLAND,36.37,0.4785741340980955,0.5214258659019044,6560645.0,0.04888467521105013,0.17513064645320697,2.655,50.0
22,MA,MASSACHUSETTS,35.5463768115942,0.4842531968196602,0.5157468031803398,9997045.0,0.032928730439844976,0.25745757871451014,2.559855072463768,69.0
23,MI,MICHIGAN,37.01139240506329,0.4792954458138628,0.5207045541861373,10885238.0,0.04505505529598893,0.1115774409342267,2.5055696202531643,79.0
24,MN,MINNESOTA,35.57962962962963,0.49385597867170916,0.5061440213282908,7044165.0,0.045674398597988546,0.1518828704324785,2.496851851851852,54.0
25,MS,MISSISSIPPI,33.21111111111111,0.46220510309291896,0.537794896907081,1141543.0,0.05896755531767091,0.01860026297739113,2.601111111111111,9.0
26,MO,MISSOURI,34.86666666666667,0.48266515007299926,0.5173348499270007,7595970.0,0.060198368345319955,0.06522866730647962,2.41,45.0
27,MT,MONTANA,35.5,0.4837832471013933,0.5162167528986067,906470.0,0.07641731110792414,0.032968548324820456,2.275,10.0
28,NC,N. CAROLINA,33.785714285714285,0.479088124661174,0.520911875338826,15300995.0,0.054292547641509585,0.12395501076890751,2.475,70.0
29,ND,N. DAKOTA,34.35,0.5025858884373846,0.49741411156261545,947450.0,0.05435115309515014,0.0606469998416803,2.145,10.0
30,NE,NEBRASKA,33.25,0.4954473796956046,0.5045526203043954,3606165.0,0.05434720818376308,0.09874894798213615,2.435,10.0
31,NV,NEVADA,36.08888888888889,0.49922927384832894,0.5007707261516711,11203720.0,0.06785558725137722,0.2148112412662937,2.813333333333333,45.0
32,NH,NEW HAMPSHIRE,37.8,0.493299629663266,0.506700370336734,990990.0,0.05552528279801007,0.13723145541327358,2.43,10.0
33,NJ,NEW JERSEY,35.25438596491228,0.49387117978526696,0.506128820214733,6931024.0,0.021155892693489445,0.3358450353079141,2.960877192982456,57.0
34,NM,NEW MEXICO,37.775,0.48747261758052635,0.5125273824194736,4195210.0,0.0720750570293263,0.10620684065875129,2.585,20.0
35,NY,NEW YORK,35.57037037037037,0.4779962595446252,0.5220037404553748,49002055.0,0.020797025757389155,0.35073780069019556,2.77037037037037,54.0
36,OH,OHIO,35.593877551020405,0.48387796520495513,0.5161220347950448,12096550.0,0.05236666652888634,0.07224299490350554,2.2985714285714285,49.0
37,OK,OKLAHOMA,33.4,0.4931507700164597,0.5068492299835403,7244975.0,0.06588566558200684,0.1043302426854475,2.5983333333333336,30.0
38,OR,OREGON,36.125,0.4924737680028458,0.5075262319971542,7182545.0,0.054958235555781415,0.1293086225007988,2.53875,40.0
39,PA,PENNSYLVANIA,33.95151515151515,0.4794227075648792,0.5205772924351209,11502801.0,0.04472710603269586,0.1251813362675752,2.507575757575758,33.0
40,PR,PUERTO RICO,40.73076923076923,0.4579626136286978,0.5420373863713022,2030847.0,0.0,0.0,,13.0
41,RI,RHODE ISLAND,37.652631578947364,0.4908036404794896,0.5091963595205105,1986112.0,0.043923001321174236,0.21726216849805047,2.528947368421053,19.0
42,SC,S. CAROLINA,33.825,0.48910040139529704,0.5108995986047029,2586976.0,0.06313703722029118,0.05180527380230818,2.469583333333333,24.0
43,SD,S. DAKOTA,37.05,0.5006895201103232,0.4993104798896768,1225490.0,0.06563497050159528,0.062460729993716796,2.3449999999999998,10.0
44,TN,TENNESSEE,34.31136363636364,0.4793367548583207,0.5206632451416793,10690165.0,0.05483563630682969,0.08420347113444929,2.4629545454545454,44.0
45,TX,TEXAS,33.37948717948718,0.4941217597286997,0.5058782402713002,70553853.0,0.04860842964876773,0.20548918852100112,2.8451282051282054,273.0
46,UT,UTAH,30.8625,0.5052568746036127,0.4947431253963873,5119677.0,0.037729919289830195,0.1273148677152875,3.156875,48.0
47,VT,VERMONT,,,,,,,,
48,VI,VIRGIN ISLANDS,,,,,,,,
49,VA,VIRGINIA,34.42857142857143,0.49097275283442104,0.5090272471655789,11818110.0,0.09720928304102772,0.11391584610398786,2.5842857142857145,70.0
50,WV,W. VIRGINIA,,,,,,,,
51,WA,WASHINGTON,35.28823529411765,0.49822067615506055,0.5017793238449394,12500535.0,0.06124777859507613,0.1763772510536549,2.5976470588235294,85.0
52,WI,WISCONSON,33.51111111111111,0.48742556496325573,0.5125744350367443,7065725.0,0.04326095340534765,0.08823369151785557,2.417777777777778,45.0
53,WY,WYOMING,,,,,,,,
54,99,All Other Codes,,,,,,,,
